tiraz,1-number,2-number,3-number,4-number,5-number,6-number,7-number,datetime,jackpot
206,17,3,11,5,10,26,9,2014-06-11 22:00:00,40000000
207,8,26,9,37,49,41,39,2014-06-13 22:00:00,40000000
208,8,24,17,15,42,40,20,2014-06-16 22:00:00,40000000
209,20,28,8,13,25,1,9,2014-06-18 22:00:00,40000000
210,25,45,10,29,41,12,30,2014-06-20 22:00:00,40000000
211,10,29,5,44,1,41,16,2014-06-23 22:00:00,40000000
212,49,48,2,39,37,32,15,2014-06-25 22:00:00,40000000
213,8,22,26,20,45,27,36,2014-06-27 22:00:00,40000000
215,47,29,48,26,31,8,32,2014-09-08 21:00:00,50000000
216,37,32,47,38,11,7,3,2014-09-10 21:00:00,50000000
217,11,41,8,20,25,19,9,2014-09-12 21:00:00,50000000
218,37,23,11,9,40,34,31,2014-09-15 21:00:00,50000000
219,19,22,32,4,49,9,47,2014-09-17 21:00:00,50000000
220,31,4,28,13,38,37,17,2014-09-19 21:00:00,50000000
221,47,19,29,6,15,39,17,2014-09-22 21:00:00,50000000
222,28,21,8,23,17,24,2,2014-09-24 21:00:00,50000000
223,47,36,22,4,23,19,43,2014-09-26 21:00:00,50000000
224,43,42,29,26,3,35,38,2014-09-29 21:00:00,50000000
225,12,49,38,5,39,43,9,2014-10-01 21:00:00,50000000
226,12,33,39,34,6,4,48,2014-10-03 21:00:00,50000000
227,10,4,6,47,27,34,33,2014-10-06 21:00:00,50000000
228,18,36,40,12,2,5,46,2014-10-08 21:00:00,50000000
229,20,7,49,39,48,9,33,2014-10-10 21:00:00,50000000
230,29,38,2,1,12,28,18,2014-10-13 21:00:00,50000000
231,49,44,22,21,12,29,10,2014-10-15 21:00:00,50000000
232,37,31,3,43,29,13,45,2014-10-17 21:00:00,50000000
233,9,37,38,45,8,40,35,2014-10-20 21:00:00,50000000
234,38,27,28,34,40,21,20,2014-10-22 21:00:00,50000000
235,24,39,15,41,14,45,21,2014-10-24 21:00:00,50000000
236,11,49,45,34,46,48,32,2014-10-27 21:00:00,50000000
237,35,9,16,36,28,42,39,2014-10-29 21:00:00,50000000
238,16,4,15,11,2,3,28,2014-10-31 21:00:00,50000000
